      200.00
1.000000    0.000833
0.994217    0.001550
0.983248    0.002879
0.970203    0.004400
0.956024    0.006024
0.941435    0.007702
0.926699    0.009405
0.911923    0.011115
0.897140    0.012824
0.882371    0.014527
0.867616    0.016215
0.852866    0.017890
0.838129    0.019547
0.823394    0.021185
0.808664    0.022804
0.793935    0.024401
0.779203    0.025978
0.764468    0.027535
0.749732    0.029072
0.734989    0.030588
0.720242    0.032087
0.705497    0.033566
0.690754    0.035025
0.676014    0.036463
0.661281    0.037877
0.646550    0.039265
0.631825    0.040630
0.617105    0.041963
0.602389    0.043270
0.587683    0.044542
0.572978    0.045783
0.558287    0.046986
0.543602    0.048152
0.528921    0.049275
0.514249    0.050357
0.499579    0.051393
0.484919    0.052385
0.470273    0.053324
0.455626    0.054212
0.440987    0.055047
0.426352    0.055826
0.411727    0.056549
0.397114    0.057210
0.382506    0.057808
0.367909    0.058343
0.353332    0.058807
0.338760    0.059200
0.324220    0.059517
0.309695    0.059750
0.295194    0.059899
0.280724    0.059956
0.266287    0.059914
0.251887    0.059767
0.237534    0.059507
0.223229    0.059123
0.208983    0.058610
0.194812    0.057951
0.180721    0.057139
0.166728    0.056156
0.152857    0.054989
0.139125    0.053618
0.125571    0.052025
0.112227    0.050188
0.099150    0.048083
0.086391    0.045688
0.074059    0.042985
0.062248    0.039959
0.051152    0.036639
0.041027    0.033089
0.032157    0.029437
0.024733    0.025832
0.018743    0.022397
0.014025    0.019215
0.010349    0.016308
0.007488    0.013662
0.005263    0.011245
0.003535    0.009025
0.002207    0.006970
0.001212    0.005057
0.000513    0.003264
0.000101    0.001574
-0.000007   -0.000027
0.000257   -0.001602
0.001132   -0.003079
0.002442   -0.004458
0.004101   -0.005787
0.006151   -0.007101
0.008656   -0.008427
0.011742   -0.009784
0.015600   -0.011191
0.020504   -0.012663
0.026808   -0.014190
0.034842   -0.015720
0.044703   -0.017161
0.056138   -0.018402
0.068709   -0.019394
0.081970   -0.020132
0.095689   -0.020641
0.109728   -0.020966
0.123999   -0.021147
0.138447   -0.021216
0.153050   -0.021210
0.167728   -0.021153
0.182456   -0.021053
0.197222   -0.020915
0.212032   -0.020756
0.226849   -0.020575
0.241682   -0.020378
0.256517   -0.020164
0.271363   -0.019936
0.286209   -0.019694
0.301061   -0.019440
0.315914   -0.019173
0.330774   -0.018896
0.345635   -0.018609
0.360496   -0.018312
0.375363   -0.018006
0.390231   -0.017692
0.405096   -0.017370
0.419970   -0.017039
0.434839   -0.016702
0.449711   -0.016357
0.464582   -0.016005
0.479457   -0.015645
0.494328   -0.015281
0.509206   -0.014909
0.524084   -0.014532
0.538964   -0.014151
0.553840   -0.013763
0.568723   -0.013370
0.583606   -0.012973
0.598489   -0.012572
0.613373   -0.012166
0.628255   -0.011757
0.643130   -0.011343
0.658007   -0.010929
0.672890   -0.010510
0.687774   -0.010087
0.702665   -0.009661
0.717548   -0.009235
0.732428   -0.008804
0.747313   -0.008372
0.762201   -0.007938
0.777089   -0.007500
0.791973   -0.007061
0.806846   -0.006618
0.821709   -0.006175
0.836571   -0.005726
0.851440   -0.005277
0.866318   -0.004825
0.881201   -0.004371
0.896089   -0.003915
0.910965   -0.003459
0.925825   -0.003005
0.940655   -0.002550
0.955373   -0.002100
0.969718   -0.001663
0.983006   -0.001253
0.994163   -0.000905
1.000000   -0.000719
